Geo_code,Geo_name,Indicator_wall_insulation,Indicator_wall_insulation_deciles,Indicator_roof_insulation,Indicator_roof_insulation_deciles,Indicator_floor_insulation,Indicator_floor_insulation_deciles,Indicator_property_type,Indicator_property_type_deciles,Indicator_property_age,Indicator_property_age_deciles,Indicator_age_population,Indicator_age_population_deciles,Indicator_health_conditions,Indicator_health_conditions_deciles,Indicator_fuel_poverty,Indicator_fuel_poverty_deciles,Country,Country_denominator,Geo_type,Combined,Combined_deciles,Insulation_supply,Insulation_supply_deciles
W07000107,Rhondda and Ogmore,32,10,32,10,32,10,27,9,32,10,7,2,27,9,31,10,Wales,32,Westminster Constituency,32,10,6,9
W07000108,Swansea West,26,8,29,9,8,2,3,1,25,8,12,4,13,4,29,9,Wales,32,Westminster Constituency,23,7,24,3
W07000109,Torfaen,5,2,19,6,19,6,11,3,13,4,25,8,14,4,19,6,Wales,32,Westminster Constituency,13,4,12,7
W07000110,Vale of Glamorgan,8,2,8,2,6,2,9,3,9,3,6,2,28,9,14,4,Wales,32,Westminster Constituency,8,2,9,8
W07000111,Wrexham,1,1,1,1,18,6,12,4,7,2,9,3,18,6,16,5,Wales,32,Westminster Constituency,3,1,29,1
W07000112,Ynys Môn,13,4,16,5,24,8,28,9,20,6,19,6,6,2,6,2,Wales,32,Westminster Constituency,11,3,27,2
S14000021,East Renfrewshire,31,6,49,9,37,7,35,6,23,4,34,6,12,2,3,1,Scotland,57,Westminster Constituency,20,4,9,9
S14000027,Na h-Eileanan an Iar,48,9,57,10,57,10,57,10,27,5,57,10,36,6,43,8,Scotland,57,Westminster Constituency,57,10,57,1
S14000045,Midlothian,4,1,1,1,32,6,45,8,34,6,20,4,25,5,20,4,Scotland,57,Westminster Constituency,13,3,34,4
S14000048,North Ayrshire and Arran,50,9,45,8,48,9,26,5,40,7,49,9,53,10,51,9,Scotland,57,Westminster Constituency,54,10,22,6
S14000051,Orkney and Shetland,1,1,20,4,28,5,56,10,17,3,45,8,11,2,23,4,Scotland,57,Westminster Constituency,30,5,38,4
S14000060,Aberdeen North,34,6,22,4,13,3,15,3,18,3,15,3,23,4,37,7,Scotland,57,Westminster Constituency,9,2,55,1
S14000061,Aberdeen South,56,10,41,7,10,2,11,2,45,8,8,2,3,1,15,3,Scotland,57,Westminster Constituency,22,4,56,1
S14000062,Aberdeenshire North and Moray East,46,8,56,10,56,10,50,9,38,7,41,7,14,3,34,6,Scotland,57,Westminster Constituency,50,9,48,2
S14000063,Airdrie and Shotts,43,8,14,3,41,7,27,5,12,2,14,3,49,9,27,5,Scotland,57,Westminster Constituency,29,5,2,10
S14000064,Alloa and Grangemouth,11,2,8,2,38,7,25,5,11,2,29,5,28,5,49,9,Scotland,57,Westminster Constituency,24,4,25,6
S14000065,Angus and Perthshire Glens,28,5,36,6,43,8,41,7,47,8,52,9,20,4,18,3,Scotland,57,Westminster Constituency,40,7,43,3
S14000066,Arbroath and Broughty Ferry,12,2,33,6,39,7,28,5,26,5,44,8,24,4,26,5,Scotland,57,Westminster Constituency,25,5,53,1
S14000067,"Argyll, Bute and South Lochaber",40,7,54,10,36,6,31,6,51,9,56,10,37,7,28,5,Scotland,57,Westminster Constituency,51,9,29,5
S14000068,Bathgate and Linlithgow,15,3,17,3,27,5,43,8,6,1,17,3,18,3,29,5,Scotland,57,Westminster Constituency,6,1,23,6
S14000069,"Caithness, Sutherland and Easter Ross",10,2,51,9,52,9,55,10,25,5,51,9,21,4,23,4,Scotland,57,Westminster Constituency,44,8,50,2
